@id	@lon	@lat	name	website
1369216387	15.4446610	47.0662423	Music-House	http://www.music-house.at/
1369230035	15.4472581	47.0686045	Kaisers BBQ	http://www.kaisersbbq.at
1373206090	15.4292547	47.0699536	Café Graz	
1377124095	15.4504128	47.0637182	Lebensgfyhl	
1377471285	15.4537657	47.0564062	Captain’s Riff	
1382177683	15.5111437	47.1017257		
1386746851	15.4395094	47.0709001	Zeitlos	http://www.cafe-zeitlos.at
1391511736	15.4250970	47.1125405		
1391511775	15.4251548	47.1125833		
1391511787	15.4251273	47.1125909		
1391511823	15.4247673	47.1126322		
1391511836	15.4251893	47.1126407		
1391511837	15.4251657	47.1126472		
1391511861	15.4248022	47.1126904		
1391511865	15.4247729	47.1126986		
1391511868	15.4251980	47.1127009		
1391511876	15.4248079	47.1127569		
1391511902	15.4249805	47.1127614		
1391511910	15.4249924	47.1127813		
1391511914	15.4248749	47.1128139		
1399856977	15.4482508	47.0988430		
1399856981	15.4480444	47.0989081		
1399856984	15.4480495	47.0989589		
1399856989	15.4483507	47.0989769		
1399856991	15.4482799	47.0990116		
1399856993	15.4480151	47.0990242		
1399856995	15.4483928	47.0990362		
1399856998	15.4483608	47.0991025		
1399962009	15.4394753	47.0728977	Goldene Pastete	
1400109072	15.4153473	47.0443980		
1400109074	15.4146115	47.0443053		
1404007650	15.4412585	47.0766343		
1404007707	15.4395056	47.0783431		
1411138570	15.4523562	47.0659264	aroom	
1411138572	15.4498882	47.0672258	Blaukrah	http://www.blaukrah.at
1411138587	15.4505850	47.0663196	Tintenfass	
1411205656	15.4440311	47.0620590	Goldener Apfel	
1411544004	15.3928009	47.0995459	Antonis	
1413431084	15.4437603	47.0618319	Kaffeesiederei Schraußer	
1422456141	15.4401063	47.0683860	Mild	http://feinkostmild.at/
1425742782	15.4533767	47.0728736	Thomawirt	http://www.thomawirt.at/
1425742785	15.4575431	47.0705524	Wallerie	
1428294975	15.4566549	47.0864422	Das Lorenz	http://www.daslorenz.at
1430926640	15.4336529	47.0675630	Dainadoo	http://www.dainadoo.at/
1432474108	15.4275231	47.0776511	Zur Gemütlichkeit	
1433225428	15.4225661	47.0809615	Cafe Bar Rali	
1433393758	15.4245259	47.0832448	Floßlendstüberl	
1433613744	15.4485926	47.0643103	Pirsch Stüberl	
1433733883	15.4295051	47.0806274		
1433733884	15.4296261	47.0806931		
1433733885	15.4293730	47.0807854		
1433733886	15.4294895	47.0808104		
1434330631	15.4504665	47.0719914	Barista's Music & Art	www.baristas.at
1435328903	15.4290544	47.0711568	Hubert Auer	
1438220158	15.4309443	47.0768104	Omoka	
1438437890	15.4222576	47.0841544		
1438450806	15.4147164	47.0913467	Zunki	
1438451446	15.4177556	47.0884733		
1438451447	15.4178578	47.0885346		
1438451449	15.4177337	47.0886377		
1438707644	15.4321831	47.0608538	Morrehof	
1439091491	15.4222482	47.0839599		
1439091492	15.4222063	47.0839697		
1439091493	15.4223244	47.0839791		
1439091494	15.4222390	47.0839832		
1439091495	15.4219571	47.0841171		
1439091496	15.4220036	47.0841249		
1439091497	15.4222741	47.0841311		
1439091498	15.4219784	47.0841363		
1439091499	15.4220958	47.0841472		
1439091500	15.4220744	47.0841612		
1439091501	15.4222444	47.0841721		
1440170202	15.4740112	47.0566058		
1440170204	15.4739193	47.0566060		
1440170207	15.4740767	47.0566190		
1440170208	15.4740112	47.0566191		
1440170209	15.4739194	47.0566268		
1440170217	15.4738047	47.0566270		
1440170219	15.4738048	47.0566489		
1440170220	15.4737107	47.0566490		
1440170245	15.4740774	47.0567785		
1440170247	15.4739007	47.0567789		
1440170249	15.4738005	47.0567885		
1440170250	15.4737113	47.0567887		
1440170262	15.4739008	47.0568090		
1440170264	15.4738593	47.0568091		
1440170280	15.4738598	47.0569252		
1440170282	15.4738011	47.0569253		
1440170600	15.4712918	47.0575140		
1440170627	15.4714250	47.0575653		
1440170683	15.4711771	47.0576522		
1440170713	15.4713102	47.0577035		
1446186235	15.4569843	47.0697253	Cafe Weingrill	
1446291307	15.4396548	47.0733509	Trailer	
1447489205	15.4414032	47.0614916	Posthorn	
1448534627	15.4941190	47.1065252		
1448534628	15.4940753	47.1065361		
1448534635	15.4941766	47.1066406		
1448534641	15.4928014	47.1072050		
1449672099	15.4438083	47.0540563	Cafe "	
